Bank,Ca2,Aq2,Me2,Eq2,Lm2
Absa,0.2309,0.072,0.0213,0.0676,0.7559
AB,0.3568,0.099,0.0489,0.0231,0.8552
ADB,0.1449,0.3121,0.064,0.0532,1.0187
BA,0.0471,0.0942,0.0533,0.0231,2.3674
CB,0.251,0.112,0.0015,0.022,2.333
Ecobank,0.2024,0.12,0.0213,0.0842,0.6984
FBN,0.6299,0.425,0.0278,0.0912,0.9798
FB,0.4386,0.074,0.0191,0.031,1.5
FAB,0.22,0.09,0.022,0.0249,0.74
FNB,0.3662,0.0349,0.0427,-0.0016,1.7383
GCB,0.209,0.1598,0.0349,0.1032,0.64
GTB,0.3853,0.159,0.0126,0.0678,0.606
NIB,0.2012,0.121,0.0465,0.0541,0.7801
PB,0.2349,0.221,0.0329,0.0197,1.89
RB,0.2763,0.1532,0.532,0.023,1.4937
SGSSB,0.2238,0.0758,0.0249,0.0339,1.0878
SB,0.192,0.67,0.0446,0.0467,0.66
SCB,0.2712,0.3286,0.082,0.0346,0.7843
UBA,0.228,0.294,0.0123,0.0628,0.869
UMB,0.0612,0.1868,0.0561,0.0521,0.92
Zenith,0.4509,0.044,0.0653,0.0323,1.22
